"","state_fips_code","state_name","disease","vaccine","time_horizon","vaccine_coverage_estimate","vaccine_effectiveness","declining_coverage_among_new_births","coverage_with_decline_applied","structural_vaccine_coverage","effective_structural_vaccine_coverage","total_population","age_group","age_group_length","age_group_population","waning_rate_annual","basic_reproduction_number","observed_national_cases","duration_infectious_days","duration_sick_days","cost_wage_daily","proportion_hospitalized_given_case","duration_hospitalized_days","cost_hospitalization_daily","death_rate","model_type","endemic_equilibrium_incidence_rate_annual","infections","infections_per_100k","additional_infections","additional_infections_per_100k","cases","cases_per_100k","additional_cases","additional_cases_per_100k","hospitalizations","hospitalizations_per_100k","additional_hospitalizations","additional_hospitalizations_per_100k","deaths","deaths_per_100k","additional_deaths","additional_deaths_per_100k","workdays_lost","workdays_lost_per_100k","additional_workdays_lost","additional_workdays_lost_per_100k","productivity_cost","productivity_cost_per_100k","additional_productivity_cost","additional_productivity_cost_per_100k","hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost","additional_hospitalization_cost_per_100k","total_cost","total_cost_per_100k","additional_total_cost","additional_total_cost_per_100k","vaccine_adverse_events","vaccine_adverse_events_per_100k","vaccine_adverse_events_avoided","vaccine_adverse_events_avoided_per_100k"
"1","01","Alabama","Rotavirus","Rotavirus",1,0.686,0.915,0,0.686,0.686,0.62769,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0657033117563321,19344.171937364,6570.33117563321,0,0,11638.4500091868,3953.04958925157,0,0,166.429835131371,56.5286091262974,0,0,0.0861245300679823,0.0292525669604616,0,0,58192.250045934,19765.2479462578,0,0,14548062.5114835,4941311.98656446,0,0,2708033.10496978,919795.088248906,0,0,17256095.6164533,5861107.07481337,0,0,3.231520992,1.0976,0,0
"2","01","Alabama","Rotavirus","Rotavirus",5,0.686,0.915,0,0.686,0.686,0.62769,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0657033117563321,19344.171937364,6570.33117563321,0,0,11638.4500091868,3953.04958925157,0,0,166.429835131371,56.5286091262974,0,0,0.0861245300679823,0.0292525669604616,0,0,58192.250045934,19765.2479462578,0,0,14548062.5114835,4941311.98656446,0,0,2708033.10496978,919795.088248906,0,0,17256095.6164533,5861107.07481337,0,0,3.231520992,1.0976,0,0
"3","01","Alabama","Rotavirus","Rotavirus",10,0.686,0.915,0,0.686,0.686,0.62769,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0657033117563321,19344.171937364,6570.33117563321,0,0,11638.4500091868,3953.04958925157,0,0,166.429835131371,56.5286091262974,0,0,0.0861245300679823,0.0292525669604616,0,0,58192.250045934,19765.2479462578,0,0,14548062.5114835,4941311.98656446,0,0,2708033.10496978,919795.088248906,0,0,17256095.6164533,5861107.07481337,0,0,3.231520992,1.0976,0,0
"4","01","Alabama","Rotavirus","Rotavirus",20,0.686,0.915,0,0.686,0.686,0.62769,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0657033117563321,19344.171937364,6570.33117563321,0,0,11638.4500091868,3953.04958925157,0,0,166.429835131371,56.5286091262974,0,0,0.0861245300679823,0.0292525669604616,0,0,58192.250045934,19765.2479462578,0,0,14548062.5114835,4941311.98656446,0,0,2708033.10496978,919795.088248906,0,0,17256095.6164533,5861107.07481337,0,0,3.231520992,1.0976,0,0
"5","01","Alabama","Rotavirus","Rotavirus",1,0.686,0.915,0.01,0.676,0.684,0.62586,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0663601860266211,19537.5668893997,6636.01860266211,193.394952035665,65.6874270288963,11754.8063716397,3992.57052807404,116.356362452954,39.5209388224709,168.093731114448,57.0937585514588,1.66389598307725,0.565149425161337,0.0869855671501341,0.0295450219077479,0.000861037082151864,0.000292454947286286,58774.0318581987,19962.8526403702,581.781812264766,197.604694112353,14693507.9645497,4990713.16009255,145445.453066193,49401.1735280886,2735106.88895715,928990.815393522,27073.7839873647,9195.72714461622,17428614.8535068,5919703.97548607,172519.237053558,58596.9006727051,3.184414272,1.0816,0.0471067199999999,0.016
"6","01","Alabama","Rotavirus","Rotavirus",5,0.686,0.915,0.01,0.676,0.676,0.61854,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0689246578933571,20292.5910029885,6892.46578933571,948.41906562449,322.1346137025,12209.0677600407,4146.8623619019,570.617750853926,193.812772650331,174.589668968582,59.3001317751972,8.15983383721112,2.77152264889973,0.0903471014243013,0.0306867814780741,0.00422257135631905,0.00143421451761245,61045.3388002036,20734.3118095095,2853.08875426963,969.063863251656,15261334.7000509,5183577.95237738,713272.188567407,242265.965812914,2840804.37248187,964891.420156401,132771.267512091,45096.3319074953,18102139.0725328,6148469.37253378,846043.456079498,287362.297720409,3.184414272,1.0816,0.0471067199999999,0.016
"7","01","Alabama","Rotavirus","Rotavirus",10,0.686,0.915,0.01,0.676,0.676,0.61854,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0689246578933571,20292.5910029885,6892.46578933571,948.41906562449,322.1346137025,12209.0677600407,4146.8623619019,570.617750853926,193.812772650331,174.589668968582,59.3001317751972,8.15983383721112,2.77152264889973,0.0903471014243013,0.0306867814780741,0.00422257135631905,0.00143421451761245,61045.3388002036,20734.3118095095,2853.08875426963,969.063863251656,15261334.7000509,5183577.95237738,713272.188567407,242265.965812914,2840804.37248187,964891.420156401,132771.267512091,45096.3319074953,18102139.0725328,6148469.37253378,846043.456079498,287362.297720409,3.184414272,1.0816,0.0471067199999999,0.016
"8","01","Alabama","Rotavirus","Rotavirus",20,0.686,0.915,0.01,0.676,0.676,0.61854,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0689246578933571,20292.5910029885,6892.46578933571,948.41906562449,322.1346137025,12209.0677600407,4146.8623619019,570.617750853926,193.812772650331,174.589668968582,59.3001317751972,8.15983383721112,2.77152264889973,0.0903471014243013,0.0306867814780741,0.00422257135631905,0.00143421451761245,61045.3388002036,20734.3118095095,2853.08875426963,969.063863251656,15261334.7000509,5183577.95237738,713272.188567407,242265.965812914,2840804.37248187,964891.420156401,132771.267512091,45096.3319074953,18102139.0725328,6148469.37253378,846043.456079498,287362.297720409,3.184414272,1.0816,0.0471067199999999,0.016
"9","01","Alabama","Rotavirus","Rotavirus",1,0.686,0.915,0.02,0.666,0.682,0.62403,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0670106657446073,19729.07917653,6701.06657446073,384.907239166019,130.73539882752,11870.0300259336,4031.70673769979,231.580016746806,78.6571484482234,169.74142937085,57.653406349107,3.31159423947932,1.12479722280959,0.0878382221919086,0.0298346298589785,0.00171369212392637,0.000582062898516856,59350.150129668,20158.533688499,1157.90008373403,393.285742241117,14837537.532417,5039633.42212474,289475.020933507,98321.4355602791,2761917.11455051,938097.023796352,53884.0095807249,18301.9355474463,17599454.6469675,5977730.44592109,343359.030514233,116623.371107726,3.137307552,1.0656,0.0942134400000003,0.0320000000000001
"10","01","Alabama","Rotavirus","Rotavirus",5,0.686,0.915,0.02,0.666,0.666,0.60939,5054253,"0-4 years",5,294417,0,4,NA,10,5,250,0.0143,3.38,4814,7.4e-06,"SIR",0.0719950846112491,21196.5768259901,7199.50846112491,1852.40488862609,629.177285491697,12752.9521839429,4331.59504510367,1114.50217475609,378.545455852105,182.367216230383,61.9418091449825,15.9373810990121,5.41320001868511,0.0943718461611774,0.0320538033337672,0.0082473160931951,0.00280123637330558,63764.7609197144,21657.9752255184,5572.51087378046,1892.72727926053,15941190.2299286,5414493.80637959,1393127.71844512,473181.819815132,2967355.33279376,1007874.99797694,259322.227823978,88079.9097280314,18908545.5627224,6422368.80435653,1652449.94626909,561261.729543163,3.137307552,1.0656,0.0942134400000003,0.0320000000000001
