"source","state_name","school_year","year","population_size","any_rate","medical_rate","non_medical_rate","any_n","medical_n","non_medical_n"
"school_vax_view","Idaho","2020-21",2020,22677,8.2,0.3,7.9,1861,64,1797
"school_vax_view","Idaho","2021-22",2021,23854,9.8,0.5,9.2,2335,128,2206
"school_vax_view","Idaho","2022-23",2022,23721,12.1,0.5,11.5,2859,126,2733
"school_vax_view","Idaho","2023-24",2023,22376,14.3,0.4,13.9,3192,91,3101
"school_vax_view","Idaho","2024-25",2024,22242,15.4,0.3,15.1,3427,64,3363
"school_vax_view","Illinois","2019-20",2019,145891,2,0.3,1.7,2894,407,2487
"school_vax_view","Illinois","2020-21",2020,NA,NA,NA,NA,NA,NA,NA
"school_vax_view","Illinois","2021-22",2021,137699,1.7,NA,NA,2400,NA,NA
"school_vax_view","Illinois","2022-23",2022,135332,2.1,0.2,1.9,2829,291,2538
"school_vax_view","Illinois","2023-24",2023,133578,2.5,0.3,2.3,3405,364,3041
"school_vax_view","Illinois","2024-25",2024,132769,2.8,0.3,2.5,3776,399,3377
"school_vax_view","Indiana","2019-20",2019,88253,2.2,0.2,1.9,1901,199,1701
"school_vax_view","Indiana","2020-21",2020,78694,1.9,0.2,1.7,1464,131,1333
"school_vax_view","Indiana","2021-22",2021,83198,2.4,0.2,2.2,1980,141,1839
"school_vax_view","Indiana","2022-23",2022,81307,2.8,0.2,2.5,2246,175,2071
"school_vax_view","Indiana","2023-24",2023,80639,2.4,0.1,2.4,1974,75,1899
"school_vax_view","Indiana","2024-25",2024,73744,2.6,0.1,2.6,1937,86,1904
"school_vax_view","Iowa","2019-20",2019,40812,2.5,0.2,2.3,1004,68,936
"school_vax_view","Iowa","2020-21",2020,39141,2.2,0.2,2.1,867,64,803
"school_vax_view","Iowa","2021-22",2021,40111,2.4,0.1,2.3,962,49,913
"school_vax_view","Iowa","2022-23",2022,39178,3,0.2,2.8,1173,68,1105
"school_vax_view","Iowa","2023-24",2023,38611,3.4,0.2,3.2,1307,64,1243
"school_vax_view","Iowa","2024-25",2024,38268,3.9,0.2,3.8,1499,62,1437
"school_vax_view","Kansas","2019-20",2019,37865,2.1,0.3,1.9,805,99,705
"school_vax_view","Kansas","2020-21",2020,34687,2,0.2,1.8,684,71,613
"school_vax_view","Kansas","2021-22",2021,36526,2.3,0.2,2.1,830,80,750
"school_vax_view","Kansas","2022-23",2022,35543,2.9,0.3,2.6,1041,116,926
"school_vax_view","Kansas","2023-24",2023,34178,3,0.3,2.7,1024,87,937
"school_vax_view","Kansas","2024-25",2024,33892,3.6,0.3,3.3,1219,104,1115
"school_vax_view","Kentucky","2019-20",2019,59233,1.8,0.5,1.4,1082,274,809
"school_vax_view","Kentucky","2020-21",2020,59233,1,0.2,0.8,569,92,478
"school_vax_view","Kentucky","2021-22",2021,59233,1.3,0.2,1.1,774,95,679
"school_vax_view","Kentucky","2022-23",2022,54742,1.7,0.2,1.6,958,95,863
"school_vax_view","Kentucky","2023-24",2023,52609,2.3,0.2,2,1184,111,1073
"school_vax_view","Kentucky","2024-25",2024,51319,2.2,0.1,2,1114,73,1041
"school_vax_view","Louisiana","2019-20",2019,59685,1.5,0.2,1.3,884,92,792
"school_vax_view","Louisiana","2020-21",2020,61912,1.1,0.1,1,664,48,616
"school_vax_view","Louisiana","2021-22",2021,66518,1.1,0,1.1,753,29,724
"school_vax_view","Louisiana","2022-23",2022,54314,2.3,0.1,2.1,1227,72,1155
"school_vax_view","Louisiana","2023-24",2023,51839,2.8,0.1,2.7,1462,56,1406
"school_vax_view","Louisiana","2024-25",2024,49229,3.1,0.1,3,1519,61,1458
"school_vax_view","Maine","2019-20",2019,13450,5.9,0.3,5.6,795,40,755
