"source","vaccine","state_name","season","season_start","month","month_rank","vaccine_coverage_estimate","sample_size"
"cdc_iis","nirsevimab","California","2025-26",2025,"JAN",5,41.0622019520746,336565
"cdc_iis","nirsevimab","California","2025-26",2025,"FEB",6,39.8844477097525,370222
"cdc_iis","nirsevimab","California","2025-26",2025,"MAR",7,39.7015930553286,403878
"cdc_iis","nirsevimab","California","2025-26",2025,"APR",8,42.7176028404617,403878
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"SEP",1,1.1446508973302,31538
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"OCT",2,25.6971245311736,36794
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"NOV",3,35.8445696891869,42051
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"DEC",4,38.8673980594838,47307
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"JAN",5,39.4364857409204,52563
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"FEB",6,38.6942234520927,57820
"cdc_iis","nirsevimab","Colorado","2024-25",2024,"MAR",7,38.5741010844061,63076
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Colorado","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"SEP",1,3.00303809301239,17116
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"OCT",2,31.6841103710752,19969
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"NOV",3,41.4924849918934,22821
