"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","PCV","Georgia",2020,"birth_cohort",78.3,"69.5 to 86.0",338
"child_vax_view","PCV","Georgia",2021,"birth_cohort",83.4,"76.1 to 89.5",376
"child_vax_view","PCV","Georgia",2022,"birth_cohort",88.2,"76.3 to 95.7",193
"child_vax_view","PCV","Hawaii",2019,"birth_cohort",81.5,"75.5 to 86.8",246
"child_vax_view","PCV","Hawaii",2020,"birth_cohort",82.1,"74.4 to 88.6",201
"child_vax_view","PCV","Hawaii",2021,"birth_cohort",83.3,"75.6 to 89.6",238
"child_vax_view","PCV","Hawaii",2022,"birth_cohort",85.2,"72.8 to 93.9",140
"child_vax_view","PCV","Idaho",2019,"birth_cohort",87.1,"81.8 to 91.5",306
"child_vax_view","PCV","Idaho",2020,"birth_cohort",85.5,"79.8 to 90.3",286
"child_vax_view","PCV","Idaho",2021,"birth_cohort",81.4,"74.4 to 87.4",251
"child_vax_view","PCV","Idaho",2022,"birth_cohort",83.4,"76.3 to 89.3",175
"child_vax_view","PCV","Illinois",2019,"birth_cohort",86.2,"79.7 to 91.4",548
"child_vax_view","PCV","Illinois",2020,"birth_cohort",84.5,"80.0 to 88.5",549
"child_vax_view","PCV","Illinois",2021,"birth_cohort",86.9,"80.9 to 91.7",601
"child_vax_view","PCV","Illinois",2022,"birth_cohort",83.4,"76.4 to 89.3",282
"child_vax_view","PCV","Indiana",2019,"birth_cohort",86.1,"78.1 to 92.3",209
"child_vax_view","PCV","Indiana",2020,"birth_cohort",85.7,"79.0 to 91.2",232
"child_vax_view","PCV","Indiana",2021,"birth_cohort",85,"78.6 to 90.4",228
"child_vax_view","PCV","Indiana",2022,"birth_cohort",82.1,"72.4 to 89.9",123
"child_vax_view","PCV","Iowa",2019,"birth_cohort",92.3,"87.4 to 95.8",250
"child_vax_view","PCV","Iowa",2020,"birth_cohort",85.5,"79.4 to 90.7",271
"child_vax_view","PCV","Iowa",2021,"birth_cohort",88.8,"83.6 to 93.0",276
"child_vax_view","PCV","Iowa",2022,"birth_cohort",88.8,"82.4 to 93.7",178
"child_vax_view","PCV","Kansas",2019,"birth_cohort",87,"81.9 to 91.3",358
"child_vax_view","PCV","Kansas",2020,"birth_cohort",79.8,"73.8 to 85.2",368
"child_vax_view","PCV","Kansas",2021,"birth_cohort",85.4,"80.4 to 89.7",390
"child_vax_view","PCV","Kansas",2022,"birth_cohort",78.6,"69.4 to 86.5",220
"child_vax_view","PCV","Kentucky",2019,"birth_cohort",90.6,"84.6 to 95.0",271
"child_vax_view","PCV","Kentucky",2020,"birth_cohort",79.7,"72.5 to 86.1",324
"child_vax_view","PCV","Kentucky",2021,"birth_cohort",80.8,"74.9 to 86.0",333
"child_vax_view","PCV","Kentucky",2022,"birth_cohort",80.5,"72.0 to 87.8",186
"child_vax_view","PCV","Louisiana",2019,"birth_cohort",82.1,"75.4 to 87.9",411
"child_vax_view","PCV","Louisiana",2020,"birth_cohort",73.6,"65.6 to 81.0",433
