source,state_name,school_year,year,exemption_type,exemption_rate,population_size,number_of_exemptions
school_vax_view,Colorado,2023-24,2023,any,4.2,61662,2584
school_vax_view,Colorado,2023-24,2023,medical,0.2,61662,105
school_vax_view,Colorado,2023-24,2023,non_medical,4.0,61662,2479
school_vax_view,Colorado,2024-25,2024,any,4.2,60055,2545
school_vax_view,Colorado,2024-25,2024,medical,0.2,60055,92
school_vax_view,Colorado,2024-25,2024,non_medical,4.1,60055,2453
school_vax_view,Connecticut,2019-20,2019,any,2.5,38888,975
school_vax_view,Connecticut,2019-20,2019,medical,0.2,38888,84
school_vax_view,Connecticut,2019-20,2019,non_medical,2.3,38888,891
school_vax_view,Connecticut,2020-21,2020,any,2.6,34396,886
school_vax_view,Connecticut,2020-21,2020,medical,0.2,34396,83
school_vax_view,Connecticut,2020-21,2020,non_medical,2.3,34396,803
school_vax_view,Connecticut,2021-22,2021,any,2.3,35451,829
school_vax_view,Connecticut,2021-22,2021,medical,0.3,35451,102
school_vax_view,Connecticut,2021-22,2021,non_medical,2.1,35451,727
school_vax_view,Connecticut,2022-23,2022,any,0.8,35580,297
school_vax_view,Connecticut,2022-23,2022,medical,0.3,35580,112
school_vax_view,Connecticut,2022-23,2022,non_medical,0.5,35580,185
school_vax_view,Connecticut,2023-24,2023,any,0.5,36184,179
school_vax_view,Connecticut,2023-24,2023,medical,0.4,36184,128
school_vax_view,Connecticut,2023-24,2023,non_medical,0.1,36184,51
school_vax_view,Connecticut,2024-25,2024,any,0.4,30112,126
school_vax_view,Connecticut,2024-25,2024,medical,0.4,30112,120
school_vax_view,Connecticut,2024-25,2024,non_medical,0.1,30112,6
school_vax_view,Delaware,2019-20,2019,any,,,
school_vax_view,Delaware,2019-20,2019,medical,,,
school_vax_view,Delaware,2019-20,2019,non_medical,,,
school_vax_view,Delaware,2020-21,2020,any,2.4,10587,256
school_vax_view,Delaware,2020-21,2020,medical,0.1,10587,4
school_vax_view,Delaware,2020-21,2020,non_medical,2.4,10587,253
school_vax_view,Delaware,2021-22,2021,any,1.2,11181,143
school_vax_view,Delaware,2021-22,2021,medical,0.1,11181,9
school_vax_view,Delaware,2021-22,2021,non_medical,1.2,11181,134
school_vax_view,Delaware,2022-23,2022,any,2.1,10674,250
school_vax_view,Delaware,2022-23,2022,medical,0.1,10674,15
school_vax_view,Delaware,2022-23,2022,non_medical,2.0,10674,235
school_vax_view,Delaware,2023-24,2023,any,2.5,11043,274
school_vax_view,Delaware,2023-24,2023,medical,0.1,11043,8
school_vax_view,Delaware,2023-24,2023,non_medical,2.4,11043,267
school_vax_view,Delaware,2024-25,2024,any,2.6,10393,275
school_vax_view,Delaware,2024-25,2024,medical,0.1,10393,1
school_vax_view,Delaware,2024-25,2024,non_medical,2.6,10393,273
school_vax_view,District of Columbia,2019-20,2019,any,,,
school_vax_view,District of Columbia,2019-20,2019,medical,,,
school_vax_view,District of Columbia,2019-20,2019,non_medical,,,
school_vax_view,District of Columbia,2020-21,2020,any,0.3,8262,25
school_vax_view,District of Columbia,2020-21,2020,non_medical,0.3,8262,25
school_vax_view,District of Columbia,2021-22,2021,any,0.5,8959,46
school_vax_view,District of Columbia,2021-22,2021,medical,0.0,8959,4
school_vax_view,District of Columbia,2021-22,2021,non_medical,0.5,8959,42
school_vax_view,District of Columbia,2022-23,2022,any,1.3,8064,101
school_vax_view,District of Columbia,2022-23,2022,medical,0.3,8064,27
