"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"4729","Exemption","Medical Exemption","States","Illinois","2013-14","0.3",163316,NA,"§",490,"Census"
"4730","Exemption","Medical Exemption","States","Indiana","2013-14","0.4",87193,NA,"",348,"Voluntary response"
"4731","Exemption","Medical Exemption","States","Iowa","2013-14","0.5",43728,NA,"",205,"Census"
"4732","Exemption","Medical Exemption","States","Kansas","2013-14","0.8",41107,NA,"",213,"Census"
"4733","Exemption","Medical Exemption","States","Kentucky","2013-14","0.3",57857,NA,"",148,"Census"
"4734","Exemption","Medical Exemption","States","Louisiana","2013-14","0.1",63976,NA,"",83,"Census"
"4735","Exemption","Medical Exemption","States","Maine","2013-14","0.4",15441,NA,"",56,"Voluntary response"
"4736","Exemption","Medical Exemption","States","Maryland","2013-14","0.3",75659,NA,"",244,"Census"
"4737","Exemption","Medical Exemption","States","Massachusetts","2013-14","0.4",79894,NA,"",332,"Census"
"4738","Exemption","Medical Exemption","States","Michigan","2013-14","0.5",120297,NA,"",573,"Census"
"4739","Exemption","Medical Exemption","States","Minnesota","2013-14","0.1",72087,NA,"§",72,"Census"
"4740","Exemption","Medical Exemption","States","Mississippi","2013-14","0.1",45719,NA,"<",17,"Census"
"4741","Exemption","Medical Exemption","States","Missouri","2013-14","0.2",78140,NA,"§",156,"Census"
"4742","Exemption","Medical Exemption","States","Montana","2013-14","0.3",12855,NA,"",36,"Census"
"4743","Exemption","Medical Exemption","States","Nebraska","2013-14","0.6",27000,NA,"",158,"Census"
"4744","Exemption","Medical Exemption","States","Nevada","2013-14","0.1",35782,NA,"<",7,"Stratified  2-stage cluster sample"
"4745","Exemption","Medical Exemption","States","New Hampshire","2013-14","0.4",13240,NA,"",49,"Census"
"4746","Exemption","Medical Exemption","States","New Jersey","2013-14","0.2",123085,NA,"",262,"Census"
"4747","Exemption","Medical Exemption","States","New Mexico","2013-14","0.2",30725,NA,"",72,"Stratified  2-stage cluster sample"
"4748","Exemption","Medical Exemption","States","New York","2013-14","0.1",240318,NA,"",302,"Census"
"4749","Exemption","Medical Exemption","States","North Carolina","2013-14","0.1",126084,NA,"",161,"Census"
"4750","Exemption","Medical Exemption","States","North Dakota","2013-14","0.3",9780,NA,"",32,"Census (Public); Stratified  2-stage cluster sample(Private)"
"4751","Exemption","Medical Exemption","States","Ohio","2013-14","0.2",150000,NA,"",369,"Census"
"4752","Exemption","Medical Exemption","States","Oklahoma","2013-14","0.1",57377,NA,"",73,"Voluntary response"
"4753","Exemption","Medical Exemption","States","Oregon","2013-14","0.1",47649,NA,"",62,"Census"
"4754","Exemption","Medical Exemption","States","Pennsylvania","2013-14","0.3",151253,NA,"",510,"Census"
"4755","Exemption","Medical Exemption","States","Rhode Island","2013-14","0.3",11521,NA,"",33,"Census"
"4756","Exemption","Medical Exemption","States","South Carolina","2013-14","0.1",61661,NA,"*",83,"1-stage stratified sample"
"4757","Exemption","Medical Exemption","States","South Dakota","2013-14","0.2",12566,NA,"*",21,"Census"
"4758","Exemption","Medical Exemption","States","Tennessee","2013-14","0.2",80212,NA,"",132,"Census"
"4759","Exemption","Medical Exemption","States","Texas","2013-14",NA,409255,NA,"§",NA,"Census"
"4760","Exemption","Medical Exemption","States","Utah","2013-14","0.2",54779,NA,"",94,"Census"
"4761","Exemption","Medical Exemption","States","Vermont","2013-14","0.2",6771,NA,"",11,"Census"
"4762","Exemption","Medical Exemption","States","Virginia","2013-14","0.2",105692,NA,"",173,"2-stage cluster  sample"
"4763","Exemption","Medical Exemption","States","Washington","2013-14","1.2",89165,NA,"*",1035,"Voluntary response"
"4764","Exemption","Medical Exemption","States","West Virginia","2013-14","0.2",22814,NA,"",35,"Voluntary response"
"4765","Exemption","Medical Exemption","National","United States","2014-15","0.2",NA,NA,"",NA,"NaN"
"4766","Exemption","Medical Exemption","National","U.S. Median","2014-15","0.2",NA,NA,"",NA,"NaN"
"4767","Exemption","Medical Exemption","National","United States","2015-16","0.2",NA,NA,"",NA,"NaN"
