state,mode_of_action,reduced_reliance_acip,alternative_bodies,vaccines_impacted,action_expiration,source_url,cost_sharing_prohibited,basis_of_coverage_mandate,pharmacist_vax_authority,min_age_pharmacist_vax,exemptions_allowed,governor_party,legislative_control_party,session_convene,session_adjourn,has_source_link,source_year,source_tracker_url
Nevada,Legislation,Yes,,All,,https://www.leg.state.nv.us/App/NELIS/REL/36th2025Special/Bill/12996/Overview,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Nevada may administer vaccines under written guidelines and protocols developed in collaboration with a practitioner.,Allows religious and medical exemptions,Republican,Republican,No regular session,No regular session,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Hampshire,Vaccine Guidance,Yes,"AAP, ACOG",COVID-19,,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents2/han-respiratory-virus-immunization-update2025.pdf,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in New Hampshire may administer COVID-19 and influenza vaccines to individuals of all ages. They may also administer all other ACIP-recommended vaccines to individuals 18+ under a standing order or prescription.,Allows religious and medical exemptions,Republican,Republican,01/07/2026,06/30/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Hampshire,Vaccine Guidance,,"AAP, AAFP",Childhood Vaccines,,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents2/han-child-immunization-schedule.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Jersey,Executive Directive,Yes,"AAP, ACOG, AAFP, VIP",COVID-19,,https://nj.gov/health/assets/documents/ed-covid-vaccine-access.pdf,ACIP-Recommended,ACIP-Recommended,Independent Authority,"In New Jersey, pharmacists may currently order and administer COVID-19 and childhood vaccines to individuals age 3+ under a temporary administrative order. They may also administer any vaccine under an authorized prescriber’s standing order, with expanded authority for COVID-19 and influenza vaccines to individuals 5+ pending rulemaking.",Allows religious and medical exemptions,Democratic,Democratic,01/13/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Jersey,Standing Order,,,COVID-19,,https://nj.gov/health/assets/documents/covid-vaccine-standing-order.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Jersey,Insurance Bulletin,,,COVID-19,,https://www.nj.gov/dobi/bulletins/blt25_07.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Jersey,Executive Directive,,AAP,Hep B,,https://www.nj.gov/health/documents/Executive_Directive_25-005-Hepatitis_B_Vaccine.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Jersey,Legislation,,"AAP, AAFP, ACOG, ACP",All,,https://pub.njleg.state.nj.us/Bills/2024/S5000/4894_U1.PDF,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Jersey,Statement,,AAP,Childhood Vaccines,,https://www.nj.gov/health/news/2026/approved/20260112a.shtml,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Mexico,Public Health Order,Yes,,COVID-19,,https://cv.nmhealth.org/wp-content/uploads/2025/08/PublicHealthOrderCOVID19Vaccine-20250830.pdf,Includes Non-ACIP,"Department of Health Recommendations (which are based on AAP, AAFP, ACOG, ACP)",Independent Authority,Pharmacists in New Mexico may independently prescribe and administer all ACIP-recommended vaccines to individuals of all ages in accordance with CDC guidance.,Allows religious and medical exemptions,Democratic,Democratic,01/20/2026,02/19/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Mexico,Pharmacy Board Directive,,"ACIP, AAP, AAFP, ACOG, VIP, NMDOH",All,,https://www.rld.nm.gov/wp-content/uploads/2025/09/Protocol-for-Pharmacist-Prescribing-of-Vaccines.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Mexico,Vaccine Guidance,,"AAP, ACOG, NMDOH",All,,https://cv.nmhealth.org/wp-content/uploads/2025/09/COVID-19-VACCINE-GUIDANCE_09042025_finalv2.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Mexico,Legislation,,"AAP, AAFP, ACOG, ACP",All,,https://www.nmlegis.gov/Sessions/25%20Special/final/SB0003.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New Mexico,Statement,,AAP,Childhood Vaccines,,https://www.nmhealth.org/news/awareness/2026/1/?view=2309,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New York,Executive Order,Yes,,COVID-19,04/19/2026,https://www.governor.ny.gov/executive-order/no-52-declaring-disaster-state-new-york-due-federal-actions-related-vaccine-access,Includes Non-ACIP,NYS Commissioner of Health/Northeast Public Health Collaborative Recommendations,Collaborative Authority,"Pharmacists in New York may administer influenza vaccines to individuals age 2+ and a specified list of vaccines (including pneumococcal, shingles, hepatitis A/B, HPV, MMR, varicella, COVID-19, meningococcal, and Tdap) to those 18+ under a non-patient-specific order. They may also administer all vaccines to individuals of any age with a patient-specific prescription.","No exemptions allowed, unless medical",Democratic,Democratic,01/07/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New York,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.health.ny.gov/press/releases/2026/2026-01-12_pediatrics_vaccine_schedule.htm,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
New York,A9648,,"AAP, AAFP, ACOG, ACP",Childhood Vaccines,,https://www.nysenate.gov/legislation/bills/2025/A9648,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
North Carolina,Standing Order,Yes,"AAP, ACOG, AAFP",COVID-19,10/13/2025,https://www.dph.ncdhhs.gov/media/4680/open,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in North Carolina may independently prescribe and administer influenza and COVID-19 vaccines to individuals of all ages (combination vaccines only for those 7+). They may also administer ACIP-recommended vaccines to individuals 18+ under a physician protocol or to those 6+ (and other vaccines for 18+) with a patient-specific prescription.,Allows religious and medical exemptions,Democratic,Republican,04/21/2026,07/31/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
North Carolina,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.ncdhhs.gov/blog/2026/01/08/ncdhhs-hosts-media-availability-discuss-importance-vaccines-and-address-recent-public-health,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
North Dakota,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in North Dakota may prescribe and administer all CDC-recommended vaccines to individuals age 3 and older.,"Allows religious, personal belief and medical exemptions",Republican,Republican,No regular session,No regular session,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Ohio,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Ohio may administer all vaccines to individuals age 5 and older under a physician-approved protocol.,"Allows religious, personal belief and medical exemptions",Republican,Republican,01/05/2026,Meet throughout year,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Oklahoma,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Oklahoma may independently prescribe and administer all ACIP-recommended vaccines to individuals of all ages.,"Allows religious, personal belief and medical exemptions",Republican,Republican,02/02/2026,05/29/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Oregon,Vaccine Guidance,Yes,,COVID-19,,https://apps.oregon.gov/oregon-newsroom/OR/GOV/Posts/Post/governor-kotek-makes-access-to-safe-effective-vaccines-possible-in-oregon-ahead-of-respiratory-virus-season,Includes Non-ACIP,Previous Bulletin (2021),Independent Authority,Pharmacists in Oregon may independently prescribe and administer influenza vaccines for individuals age 6 months+ and all other ACIP-recommended vaccines (including those in the CDC’s Pink and Yellow Books) for individuals age 7 and older.,"Allows religious, personal belief and medical exemptions",Democratic,Democratic,02/02/2026,03/09/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Oregon,Insurance Bulletin,,,COVID-19,,https://dfr.oregon.gov/laws-rules/Documents/Bulletins/bulletin2025-06.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Oregon,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.cdph.ca.gov/Programs/OPA/Pages/NR26-001.aspx,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Pennsylvania,Executive Order,Yes,"AAP, AAFP, ACOG",COVID-19,,https://www.pa.gov/content/dam/copapwp-pagov/en/governor/documents/Executive%20Order%202025%2002%20Governor%20Shapiro%20Vaccines%20Access.pdf,ACIP-Recommended,ACIP-Recommendations,Collaborative Authority,Pharmacists in Pennsylvania may administer influenza and COVID-19 vaccines to individuals age 5+ and all other ACIP-recommended vaccines to those 8+ under a written protocol with a physician.,"Allows religious, personal belief and medical exemptions",Democratic,"Split; Republican Senate, Democratic House",01/06/2026,11/30/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Pennsylvania,Pharmacy Board Directive,,"AAP, AAFP, ACOG",COVID-19,,https://www.pa.gov/agencies/dos/department-and-offices/bpoa/boards-commissions/pharmacy,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Pennsylvania,Insurance Bulletin,,"AAP, AAFP, ACOG",COVID-19,,https://www.pacodeandbulletin.gov/Display/pabull?file=/secure/pabulletin/data/vol55/55-42/1425.html,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Pennsylvania,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.pa.gov/agencies/health/newsroom/federal-changes-do-not-impact-vaccine-access--recommendations,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Rhode Island,Standing Order,Yes,"AAP, AAFP, ACOG, ACP",COVID-19,,https://health.ri.gov/sites/g/files/xkgbur1006/files/2025-09/RIDOH-Pharmacy-Standing-Order-Covid-19.pdf,Includes Non-ACIP,"Clinical Guidelines (AAP, AAFP, ACOG)",Collaborative Authority,Pharmacists in Rhode Island may administer influenza vaccines to individuals age 9+ and all other ACIP- or AAP-recommended vaccines to those 18+ under a physician-approved protocol.,Allows religious and medical exemptions,Democratic,Democratic,01/06/2026,06/30/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Rhode Island,Insurance Bulletin,,"AAP, AAFP, ACOG, ACP",COVID-19,,https://ohic.ri.gov/sites/g/files/xkgbur736/files/2025-09/OHIC%20RIDOH%20COVID19%20VACCINATION%20BULLETIN%209.12.2025.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Rhode Island,Vaccine Guidance,,"AAP, ACOG",Hep B,,https://us2.campaign-archive.com/?u=ece9b1661b3bf3b864a6894d1&id=ef27378638,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Rhode Island,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.ri.gov/press/view/50302,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
South Carolina,Pharmacist Vaccine Protocol,Yes,"AAP, AAFP, ACOG",COVID-19,,https://llr.sc.gov/bop/PFORMS/PROTOCOL%20FOR%20ADMINISTRATION%20OF%20VACCINES%20BY%20PHARMACISTS_Sept%2017%202025.pdf,ACIP-Recommended,ACIP-Recommended,Independent Authority,"Pharmacists in South Carolina may independently prescribe and administer influenza vaccines to individuals age 3+ and a specified list of vaccines (including Hib, Hep A/B, HPV, MMR, meningococcal, pneumococcal, Td/Tdap, varicella, zoster, COVID-19, and RSV) to those 18+. They may also administer all ACIP-recommended vaccines to individuals of any age with a patient-specific prescription.",Allows religious and medical exemptions,Republican,Republican,01/31/2026,05/07/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
South Dakota,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in South Dakota may independently prescribe and administer influenza vaccines to individuals age 18 and older. They may also administer all other vaccines under a physician-approved protocol.,Allows religious and medical exemptions,Republican,Republican,01/13/2026,03/30/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Tennessee,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Tennessee may independently prescribe and administer influenza and COVID-19 vaccines to individuals age 3+ and all other vaccines to those 18+. They may also administer all vaccines to individuals of any age with a patient-specific prescription.,Allows religious and medical exemptions,Republican,Republican,01/13/2026,04/24/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Texas,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Texas may administer influenza vaccines to individuals age 7+ and all other vaccines to those 14+ under a physician’s written protocol. They may also administer all vaccines to individuals of any age with a patient-specific prescription.,"Allows religious, personal belief and medical exemptions",Republican,Republican,No regular session,No regular session,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Utah,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,"Pharmacists in Utah may administer a specified list of vaccines (including influenza, HepA/B, MMR, HPV, COVID-19, Tdap, pneumococcal, RSV, and others) to individuals of all ages under a signed Vaccine Administration Protocol. They may also administer all other ACIP-recommended vaccines to individuals of any age with a patient-specific prescription.","Allows religious, personal belief and medical exemptions",Republican,Republican,01/20/2026,3//6/26,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Vermont,Standing Order,Yes,"AAP, ACOG, AAFP, IDSA",COVID-19,,https://www.healthvermont.gov/sites/default/files/document/lsid-covid-vaccine-standing-order.pdf,Includes Non-ACIP,"Clinical Guidelines (AAP, AAFP, ACOG, IDSA)",Independent Authority,Pharmacists in Vermont may independently prescribe and administer influenza and COVID-19 vaccines to individuals age 5 and older. They may also administer all other ACIP-recommended vaccines to individuals age 18 and older.,Allows religious and medical exemptions,Republican,"Split; Republican Senate, Democratic House",01/06/2026,05/08/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Vermont,Vaccine Guidance,,"AAP, ACOG, AAFP, IDSA",COVID-19,,https://www.healthvermont.gov/sites/default/files/document/han-respiratory-virus-vaccine-recommendations-2025-2026.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Vermont,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.health.ny.gov/press/releases/2026/2026-01-12_pediatrics_vaccine_schedule.htm,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Virginia,Standing Order,Yes,,COVID-19,,https://www.vdh.virginia.gov/content/uploads/sites/134/COVID-Vaccine-Standing-Order.pdf,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Virginia may independently prescribe and administer all CDC-recommended vaccines to individuals age 3 and older. They may also administer vaccines to individuals of any age with a patient-specific prescription.,Allows religious and medical exemptions,Republican,Democratic,1/14/26 / (4/23/26 special session),03/14/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Washington,Provider Guide,Yes,State Vaccine Advisory Committee,COVID-19,,https://doh.wa.gov/sites/default/files/2025-08/348-1118-COVID19VaccineInsuranceCoverage.pdf,ACIP-Recommended,DOH Recommendations,Collaborative Authority,Pharmacists in Washington may administer all vaccines under a Collaborative Drug Therapy Agreement or a patient-specific prescription.,"Allows religious, personal belief and medical exemptions",Democratic,Democratic,01/12/2026,03/12/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Washington,Standing Order,,"AAP, AAFP, ACOG",COVID-19,,https://doh.wa.gov/sites/default/files/2025-09/COVID19VaccineStandingOrder.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Washington,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.cdph.ca.gov/Programs/OPA/Pages/NR26-001.aspx,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
West Virginia,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in West Virginia may independently prescribe and administer all CDC-recommended vaccines to individuals age 3 and older.,"Allows religious, personal belief and medical exemptions",Republican,Republican,01/14/2026,03/14/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Wisconsin,Executive Order 275,Yes,"AAP, AAFP, ACOG",COVID-19,,https://evers.wi.gov/Documents/EO/EO275-Vaccines.pdf,Includes Non-ACIP,"Clinical Guidelines (AAP, AAFP, ACOG, WHO)",Independent Authority,"Pharmacists in Wisconsin may independently prescribe and administer all ACIP-recommended vaccines to individuals age 6+. They may also administer other vaccines to individuals 6+ under a statewide standing order or physician-approved protocol, and all vaccines to any age with a patient-specific prescription.","Allows religious, personal belief and medical exemptions",Democratic,Republican,01/13/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Wisconsin,Standing Order,,"AAP, ACOG, the AAFP, WHO",COVID-19,09/11/2026,https://www.dhs.wisconsin.gov/dph/memos/communicable-diseases/2025-03-bcd.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Wisconsin,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.dhs.wisconsin.gov/dph/memos/communicable-diseases/bcd-2026-01.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Wyoming,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Wyoming may independently prescribe and administer all ACIP-recommended vaccines to individuals age 7 and older.,Allows religious and medical exemptions,Republican,Republican,02/09/2026,03/06/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
