state,mode_of_action,reduced_reliance_acip,alternative_bodies,vaccines_impacted,action_expiration,source_url,cost_sharing_prohibited,basis_of_coverage_mandate,pharmacist_vax_authority,min_age_pharmacist_vax,exemptions_allowed,governor_party,legislative_control_party,session_convene,session_adjourn,has_source_link,source_year,source_tracker_url
Connecticut,Statement,,AAP,Childhood Vaccines,,https://www.health.ny.gov/press/releases/2026/2026-01-12_pediatrics_vaccine_schedule.htm,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Connecticut,Legislation,,"ACIP, AAP, AAFP, ACOG, ACP, IDSA, SMFM",All,,https://legiscan.com/CT/bill/HB05044/2026,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Delaware,Standing Order,Yes,"AAP, ACOG, AAFP",COVID-19,,https://news.delaware.gov/2025/09/26/governors-office-provides-updates-on-covid-19-vaccination-and-access/,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Delaware may administer vaccines to individuals age 3 and older under a practitioner or physician-approved protocol. They may also administer all vaccines to individuals of any age with a patient-specific prescription.,Allows religious and medical exemptions,Democratic,Democratic,01/13/2026,06/30/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
District of Columbia,Legislation,Yes,"AAP, ACOG, AAFP",All,12/21/2025,https://lims.dccouncil.gov/Legislation/B26-0350,Includes Non-ACIP,"Previous ACIP recommendations (Dec 31, 2024); Clinical Guidelines (AAP, AAFP, ACOG)",tktktktk,Pharmacists in the District of Columbia may independently prescribe and administer all CDC-recommended vaccines for individuals age 3 and older. They may also administer vaccines to all ages with a patient-specific prescription.,Allows religious and medical exemptions,Democratic,Democratic,01/02/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
District of Columbia,Insurance Bulletin,,"AAP, ACOG, AAFP",All,,https://disb.dc.gov/sites/default/files/dc/sites/disb/page_content/attachments/DISB%20Bulletin%202025%2009%2017%20Immunization.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
District of Columbia,Statement,,"AAP, ACOG, AAFP",COVID-19,,https://dchealth.dc.gov/page/covid-19-vaccination-guidelines,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
District of Columbia,Legislation,,"AAP, ACOG, AAFP",All,07/24/2026,https://lims.dccouncil.gov/Legislation/B26-0351,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
District of Columbia,Legislation,,"AAP, ACOG, AAFP",All,,https://lims.dccouncil.gov/Legislation/B26-0414,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Florida,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,"Pharmacists in Florida may administer vaccines on the CDC Adult Immunization Schedule or for international travel to individuals age 7 and older under a physician-approved protocol. The Board of Pharmacy may authorize additional vaccines, but none have been approved at this time.",Allows religious and medical exemptions,Republican,Republican,1/13/26 / (4/20/26 special session),3/13/26 / (4/24/26 special session),FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Georgia,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Georgia may administer influenza vaccines to individuals age 13+ and other ACIP-recommended vaccines to those 18+ under a physician-approved protocol. They may also administer all vaccines to individuals of any age with a patient-specific prescription.,Allows religious and medical exemptions,Republican,Republican,01/12/2026,04/02/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
