"state_fips_code","state_name","age_group_population","age_group"
"56","Wyoming",235899,"18-49"
"72","Puerto Rico",1317784,"18-49"
"1","United States",139350034,"18-49"
"01","Alabama",644311,"50-59"
"02","Alaska",86499,"50-59"
"04","Arizona",858866,"50-59"
"05","Arkansas",369899,"50-59"
"06","California",4928287,"50-59"
"08","Colorado",699082,"50-59"
"09","Connecticut",506669,"50-59"
"10","Delaware",130205,"50-59"
"11","District of Columbia",68061,"50-59"
"12","Florida",2884589,"50-59"
"13","Georgia",1398807,"50-59"
"15","Hawaii",176292,"50-59"
"16","Idaho",214247,"50-59"
"17","Illinois",1634679,"50-59"
"18","Indiana",851025,"50-59"
"19","Iowa",381876,"50-59"
"20","Kansas",342858,"50-59"
"21","Kentucky",579884,"50-59"
"22","Louisiana",560728,"50-59"
"23","Maine",193030,"50-59"
"24","Maryland",830469,"50-59"
"25","Massachusetts",949808,"50-59"
"26","Michigan",1321382,"50-59"
"27","Minnesota",714649,"50-59"
"28","Mississippi",362710,"50-59"
"29","Missouri",769726,"50-59"
"30","Montana",130056,"50-59"
"31","Nebraska",224130,"50-59"
"32","Nevada",400979,"50-59"
"33","New Hampshire",203510,"50-59"
"34","New Jersey",1280292,"50-59"
"35","New Mexico",247541,"50-59"
"36","New York",2638363,"50-59"
"37","North Carolina",1374729,"50-59"
"38","North Dakota",84526,"50-59"
"39","Ohio",1521443,"50-59"
"40","Oklahoma",464667,"50-59"
"41","Oregon",510712,"50-59"
"42","Pennsylvania",1712952,"50-59"
"44","Rhode Island",146359,"50-59"
"45","South Carolina",662060,"50-59"
"46","South Dakota",103470,"50-59"
"47","Tennessee",900620,"50-59"
"48","Texas",3483488,"50-59"
"49","Utah",320313,"50-59"
"50","Vermont",86498,"50-59"
"51","Virginia",1127001,"50-59"
"53","Washington",930049,"50-59"
"54","West Virginia",234596,"50-59"
"55","Wisconsin",777734,"50-59"
"56","Wyoming",67713,"50-59"
"72","Puerto Rico",430363,"50-59"
"1","United States",42092439,"50-59"
"01","Alabama",872257,"60-74"
"02","Alaska",111831,"60-74"
"04","Arizona",1226868,"60-74"
"05","Arkansas",503314,"60-74"
"06","California",5864263,"60-74"
"08","Colorado",901962,"60-74"
"09","Connecticut",633571,"60-74"
"10","Delaware",196874,"60-74"
"11","District of Columbia",83024,"60-74"
"12","Florida",4058867,"60-74"
"13","Georgia",1619839,"60-74"
"15","Hawaii",256344,"60-74"
"16","Idaho",308985,"60-74"
"17","Illinois",2062079,"60-74"
"18","Indiana",1107073,"60-74"
"19","Iowa",544806,"60-74"
"20","Kansas",477573,"60-74"
"21","Kentucky",769713,"60-74"
"22","Louisiana",763001,"60-74"
"23","Maine",292005,"60-74"
"24","Maryland",1009332,"60-74"
"25","Massachusetts",1196064,"60-74"
"26","Michigan",1814566,"60-74"
"27","Minnesota",952198,"60-74"
"28","Mississippi",494912,"60-74"
"29","Missouri",1058450,"60-74"
"30","Montana",213468,"60-74"
"31","Nebraska",316830,"60-74"
"32","Nevada",513609,"60-74"
"33","New Hampshire",275330,"60-74"
"34","New Jersey",1531163,"60-74"
"35","New Mexico",381161,"60-74"
"36","New York",3331708,"60-74"
"37","North Carolina",1759853,"60-74"
"38","North Dakota",120347,"60-74"
"39","Ohio",2064729,"60-74"
"40","Oklahoma",628766,"60-74"
"41","Oregon",755538,"60-74"
"42","Pennsylvania",2369036,"60-74"
"44","Rhode Island",196101,"60-74"
"45","South Carolina",947486,"60-74"
"46","South Dakota",156961,"60-74"
"47","Tennessee",1166055,"60-74"
"48","Texas",4024380,"60-74"
"49","Utah",391790,"60-74"
"50","Vermont",132984,"60-74"
"51","Virginia",1392462,"60-74"
"53","Washington",1260921,"60-74"
"54","West Virginia",350996,"60-74"
"55","Wisconsin",1056668,"60-74"
"56","Wyoming",104796,"60-74"
"72","Puerto Rico",605492,"60-74"
"1","United States",54622909,"60-74"
"01","Alabama",352075,"75+"
"02","Alaska",31859,"75+"
"04","Arizona",570933,"75+"
"05","Arkansas",215973,"75+"
"06","California",2459873,"75+"
"08","Colorado",331411,"75+"
"09","Connecticut",274749,"75+"
"10","Delaware",78465,"75+"
"11","District of Columbia",35495,"75+"
"12","Florida",2063754,"75+"
"13","Georgia",606188,"75+"
"15","Hawaii",124597,"75+"
"16","Idaho",121439,"75+"
"17","Illinois",855605,"75+"
"18","Indiana",444747,"75+"
"19","Iowa",237218,"75+"
"20","Kansas",197757,"75+"
"21","Kentucky",298801,"75+"
"22","Louisiana",291142,"75+"
"23","Maine",119366,"75+"
"24","Maryland",405415,"75+"
