"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","Rotavirus","Kansas",2021,"birth_cohort",73.6,"67.2 to 79.1",390
"child_vax_view","Rotavirus","Kansas",2022,"birth_cohort",68,"59.6 to 75.3",220
"child_vax_view","Rotavirus","Kentucky",2019,"birth_cohort",81,"74.5 to 86.2",271
"child_vax_view","Rotavirus","Kentucky",2020,"birth_cohort",62.2,"54.7 to 69.1",324
"child_vax_view","Rotavirus","Kentucky",2021,"birth_cohort",72.3,"65.8 to 78.0",333
"child_vax_view","Rotavirus","Kentucky",2022,"birth_cohort",76.7,"68.2 to 83.5",186
"child_vax_view","Rotavirus","Louisiana",2019,"birth_cohort",70,"62.6 to 76.5",411
"child_vax_view","Rotavirus","Louisiana",2020,"birth_cohort",71.7,"63.9 to 78.4",433
"child_vax_view","Rotavirus","Louisiana",2021,"birth_cohort",70.1,"62.9 to 76.5",428
"child_vax_view","Rotavirus","Louisiana",2022,"birth_cohort",81.8,"72.5 to 88.4",214
"child_vax_view","Rotavirus","Maine",2019,"birth_cohort",74.1,"67.0 to 80.1",244
"child_vax_view","Rotavirus","Maine",2020,"birth_cohort",78,"70.2 to 84.3",223
"child_vax_view","Rotavirus","Maine",2021,"birth_cohort",78.2,"71.7 to 83.5",228
"child_vax_view","Rotavirus","Maine",2022,"birth_cohort",81.4,"72.4 to 88.0",133
"child_vax_view","Rotavirus","Maryland",2019,"birth_cohort",78.4,"73.8 to 82.4",614
"child_vax_view","Rotavirus","Maryland",2020,"birth_cohort",82.6,"77.9 to 86.4",494
"child_vax_view","Rotavirus","Maryland",2021,"birth_cohort",79.4,"73.6 to 84.1",525
"child_vax_view","Rotavirus","Maryland",2022,"birth_cohort",87.1,"81.1 to 91.4",268
"child_vax_view","Rotavirus","Massachusetts",2019,"birth_cohort",82.7,"76.0 to 87.8",295
"child_vax_view","Rotavirus","Massachusetts",2020,"birth_cohort",84.7,"77.6 to 89.8",268
"child_vax_view","Rotavirus","Massachusetts",2021,"birth_cohort",88.3,"83.3 to 92.0",277
"child_vax_view","Rotavirus","Massachusetts",2022,"birth_cohort",77.9,"68.7 to 84.9",175
"child_vax_view","Rotavirus","Michigan",2019,"birth_cohort",77.8,"71.8 to 82.9",375
"child_vax_view","Rotavirus","Michigan",2020,"birth_cohort",78.1,"70.8 to 84.0",448
"child_vax_view","Rotavirus","Michigan",2021,"birth_cohort",77,"71.1 to 81.9",467
"child_vax_view","Rotavirus","Michigan",2022,"birth_cohort",72.3,"62.0 to 80.7",251
"child_vax_view","Rotavirus","Minnesota",2019,"birth_cohort",82.1,"73.6 to 88.3",283
"child_vax_view","Rotavirus","Minnesota",2020,"birth_cohort",79.7,"73.0 to 85.1",239
"child_vax_view","Rotavirus","Minnesota",2021,"birth_cohort",76.9,"70.3 to 82.3",278
"child_vax_view","Rotavirus","Minnesota",2022,"birth_cohort",85.9,"78.0 to 91.3",166
"child_vax_view","Rotavirus","Mississippi",2019,"birth_cohort",62.7,"54.8 to 70.1",324
"child_vax_view","Rotavirus","Mississippi",2020,"birth_cohort",65.4,"56.2 to 73.6",308
"child_vax_view","Rotavirus","Mississippi",2021,"birth_cohort",58.2,"49.3 to 66.6",268
"child_vax_view","Rotavirus","Mississippi",2022,"birth_cohort",64.3,"52.0 to 74.9",160
"child_vax_view","Rotavirus","Missouri",2019,"birth_cohort",66.3,"59.4 to 72.6",402
"child_vax_view","Rotavirus","Missouri",2020,"birth_cohort",78.1,"72.4 to 82.9",390
"child_vax_view","Rotavirus","Missouri",2021,"birth_cohort",83.7,"78.9 to 87.7",387
"child_vax_view","Rotavirus","Missouri",2022,"birth_cohort",79.6,"71.3 to 86.0",194
"child_vax_view","Rotavirus","Montana",2019,"birth_cohort",77.5,"68.4 to 84.6",187
"child_vax_view","Rotavirus","Montana",2020,"birth_cohort",67.6,"59.8 to 74.5",220
"child_vax_view","Rotavirus","Montana",2021,"birth_cohort",64.8,"56.7 to 72.2",219
"child_vax_view","Rotavirus","Montana",2022,"birth_cohort",72.7,"63.0 to 80.6",154
"child_vax_view","Rotavirus","Nebraska",2019,"birth_cohort",80.6,"74.4 to 85.6",259
"child_vax_view","Rotavirus","Nebraska",2020,"birth_cohort",79.6,"72.8 to 85.0",251
"child_vax_view","Rotavirus","Nebraska",2021,"birth_cohort",79.3,"72.9 to 84.6",256
"child_vax_view","Rotavirus","Nebraska",2022,"birth_cohort",85.1,"76.2 to 91.0",148
"child_vax_view","Rotavirus","Nevada",2019,"birth_cohort",72.2,"65.9 to 77.7",340
"child_vax_view","Rotavirus","Nevada",2020,"birth_cohort",70.6,"62.9 to 77.2",323
"child_vax_view","Rotavirus","Nevada",2021,"birth_cohort",68.5,"61.9 to 74.5",352
"child_vax_view","Rotavirus","Nevada",2022,"birth_cohort",77.8,"69.1 to 84.6",200
"child_vax_view","Rotavirus","New Hampshire",2019,"birth_cohort",78.7,"71.4 to 84.6",214
"child_vax_view","Rotavirus","New Hampshire",2020,"birth_cohort",82.5,"75.2 to 87.9",189
"child_vax_view","Rotavirus","New Hampshire",2021,"birth_cohort",85.7,"79.9 to 90.1",231
"child_vax_view","Rotavirus","New Hampshire",2022,"birth_cohort",81,"71.2 to 88.0",123
"child_vax_view","Rotavirus","New Jersey",2019,"birth_cohort",69.6,"60.7 to 77.2",279
"child_vax_view","Rotavirus","New Jersey",2020,"birth_cohort",76.2,"68.8 to 82.2",268
"child_vax_view","Rotavirus","New Jersey",2021,"birth_cohort",73.6,"65.8 to 80.2",291
"child_vax_view","Rotavirus","New Jersey",2022,"birth_cohort",71.8,"62.2 to 79.9",172
"child_vax_view","Rotavirus","New Mexico",2019,"birth_cohort",85.6,"80.6 to 89.5",374
"child_vax_view","Rotavirus","New Mexico",2020,"birth_cohort",78.4,"71.5 to 84.0",357
"child_vax_view","Rotavirus","New Mexico",2021,"birth_cohort",71.8,"65.2 to 77.6",352
"child_vax_view","Rotavirus","New Mexico",2022,"birth_cohort",85.5,"78.7 to 90.5",186
