"vaccine","state_name","observed_coverage_estimate","predicted_coverage_estimate","vaccine_coverage_estimate","coverage_source","prediction_lower_80","prediction_upper_80","prediction_lower_95","prediction_upper_95","prediction_model","predictor_values_imputed"
"nirsevimab","Texas",NA,41.7050289783713,41.7050289783713,"predicted",30.5884935272367,52.6510341090594,27.4622611246419,55.7641184681777,"knn7",FALSE
"nirsevimab","Utah",NA,41.493552578175,41.493552578175,"predicted",30.3770171270404,52.4395577088631,27.2507847244456,55.5526420679814,"knn7",FALSE
"nirsevimab","Vermont",50.8750994431185,42.9014655738003,50.8750994431185,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Virginia",NA,41.1342529219709,41.1342529219709,"predicted",30.0177174708363,52.0802580526589,26.8914850682414,55.1933424117772,"knn7",FALSE
"nirsevimab","Washington",NA,41.6037535131559,41.6037535131559,"predicted",30.4872180620213,52.5497586438439,27.3609856594264,55.6628430029622,"knn7",FALSE
"nirsevimab","West Virginia",40.8881897386254,40.8874324669014,40.8881897386254,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Wisconsin",NA,42.960896841287,42.960896841287,"predicted",31.8443613901524,53.906901971975,28.7181289875576,57.0199863310934,"knn7",FALSE
"nirsevimab","Wyoming",NA,41.1366972648764,41.1366972648764,"predicted",30.0201618137418,52.0827023955645,26.893929411147,55.1957867546828,"knn7",FALSE
"nirsevimab","District of Columbia",50.1809559465868,39.6873149970921,50.1809559465868,"observed",NA,NA,NA,NA,NA,TRUE
"nirsevimab","United States",39.1248424256272,NA,39.1248424256272,"reporting_states_aggregate",NA,NA,NA,NA,NA,NA
